storecode	sono	sku	itmName	price	qty	salesamount	taxamount	UPC
001	SO000001 	SKU000002	test_itm002	6.50	2	13.00	0.78	00000000100000000001
001	SO000030 	SKU000003	test_itm003	6.75	3	20.25	1.22	00000000100000000002
001	SO000030 	SKU000004	test_itm004	7.00	1	7.00	0.42	00000000100000000003
001	SO000059 	SKU000004	test_itm004	7.00	1	7.00	0.42	00000000100000000004
001	SO000059 	SKU000005	test_itm005	7.25	2	14.50	0.87	00000000100000000005
001	SO000059 	SKU000006	test_itm006	7.50	3	22.50	1.35	00000000100000000006
001	SO000088 	SKU000005	test_itm005	7.25	2	14.50	0.87	00000000100000000007
002	SO000002 	SKU000006	test_itm006	7.50	3	22.50	1.35	00000000100000000008
002	SO000002 	SKU000007	test_itm007	7.75	1	7.75	0.47	00000000100000000009
002	SO000031 	SKU000007	test_itm007	7.75	1	7.75	0.47	00000000100000000010
002	SO000031 	SKU000008	test_itm008	8.00	2	16.00	0.96	00000000100000000011
002	SO000031 	SKU000009	test_itm009	8.25	3	24.75	1.49	00000000100000000012
002	SO000060 	SKU000008	test_itm008	8.00	2	16.00	0.96	00000000100000000013
002	SO000089 	SKU000009	test_itm009	8.25	3	24.75	1.49	00000000100000000014
002	SO000089 	SKU000010	test_itm010	8.50	1	8.50	0.51	00000000100000000015
003	SO000003 	SKU000010	test_itm010	8.50	1	8.50	0.51	00000000100000000016
003	SO000003 	SKU000011	test_itm011	8.75	2	17.50	1.05	00000000100000000017
003	SO000003 	SKU000012	test_itm012	9.00	3	27.00	1.62	00000000100000000018
003	SO000032 	SKU000011	test_itm011	8.75	2	17.50	1.05	00000000100000000019
003	SO000061 	SKU000012	test_itm012	9.00	3	27.00	1.62	00000000100000000020
003	SO000061 	SKU000013	test_itm013	9.25	1	9.25	0.56	00000000100000000021
003	SO000090 	SKU000013	test_itm013	9.25	1	9.25	0.56	00000000100000000022
003	SO000090 	SKU000014	test_itm014	9.50	2	19.00	1.14	00000000100000000023
